timestamp,actual_number,predicted_number,profit_change,is_win,bets,engine_used,top1_hit,top1_graded_live,mode
2026-06-28T01:01:51.622974,1,,0,False,"[{""number"": 1, ""token_bet"": 0, ""confidence"": 0.4, ""ev_per_token"": -0.2592592592592593, ""is_positive_ev"": false, ""support"": 0}, {""number"": 2, ""token_bet"": 0, ""confidence"": 0.22, ""ev_per_token"": -0.2777777777777778, ""is_positive_ev"": false, ""support"": 0}, {""number"": 5, ""token_bet"": 0, ""confidence"": 0.16, ""ev_per_token"": -0.22222222222222232, ""is_positive_ev"": false, ""support"": 0}]",AI-Optimal,True,True,
2026-06-28T01:02:44.826315,1,,0,False,"[{""number"": 1, ""token_bet"": 0, ""confidence"": 0.48030303030303034, ""ev_per_token"": -0.23636363636363633, ""is_positive_ev"": false, ""support"": 1}, {""number"": 2, ""token_bet"": 0, ""confidence"": 0.19214393939393937, ""ev_per_token"": -0.2909090909090909, ""is_positive_ev"": false, ""support"": 1}, {""number"": 5, ""token_bet"": 0, ""confidence"": 0.13229545454545455, ""ev_per_token"": -0.23636363636363644, ""is_positive_ev"": false, ""support"": 1}]",AI-Optimal,True,True,
2026-06-28T01:03:41.665154,1,,0,False,"[{""number"": 1, ""token_bet"": 0, ""confidence"": 0.8647222222222223, ""ev_per_token"": 0.7294444444444446, ""is_positive_ev"": false, ""support"": 1}, {""number"": 2, ""token_bet"": 0, ""confidence"": 0.05173015873015873, ""ev_per_token"": -0.8448095238095238, ""is_positive_ev"": false, ""support"": 1}, {""number"": 5, ""token_bet"": 0, ""confidence"": 0.027849206349206346, ""ev_per_token"": -0.8329047619047619, ""is_positive_ev"": false, ""support"": 1}]",Markov,True,True,
2026-06-28T01:04:29.384414,1,,0,False,"[{""number"": 1, ""token_bet"": 0, ""confidence"": 0.8580833333333333, ""ev_per_token"": 0.7161666666666666, ""is_positive_ev"": false, ""support"": 2}, {""number"": 2, ""token_bet"": 0, ""confidence"": 0.05429166666666667, ""ev_per_token"": -0.837125, ""is_positive_ev"": false, ""support"": 2}, {""number"": 5, ""token_bet"": 0, ""confidence"": 0.029229166666666667, ""ev_per_token"": -0.8246249999999999, ""is_positive_ev"": false, ""support"": 2}]",Markov,True,True,
2026-06-28T01:05:31.802200,8,,0,False,"[{""number"": 1, ""token_bet"": 0, ""confidence"": 0.8598600823045268, ""ev_per_token"": 0.7197201646090536, ""is_positive_ev"": false, ""support"": 3}, {""number"": 2, ""token_bet"": 0, ""confidence"": 0.05360905349794239, ""ev_per_token"": -0.8391728395061728, ""is_positive_ev"": false, ""support"": 3}, {""number"": 5, ""token_bet"": 0, ""confidence"": 0.028862139917695477, ""ev_per_token"": -0.8268271604938271, ""is_positive_ev"": false, ""support"": 3}]",Markov,False,True,
2026-06-28T01:06:26.846283,5,,0,False,"[{""number"": 1, ""token_bet"": 0, ""confidence"": 0.6350351851851852, ""ev_per_token"": 0.2700703703703704, ""is_positive_ev"": false, ""support"": 0}, {""number"": 2, ""token_bet"": 0, ""confidence"": 0.12042037037037036, ""ev_per_token"": -0.638738888888889, ""is_positive_ev"": false, ""support"": 0}, {""number"": 8, ""token_bet"": 0, ""confidence"": 0.08708703703703703, ""ev_per_token"": -0.21621666666666672, ""is_positive_ev"": false, ""support"": 0}]",Markov,False,True,
2026-06-28T01:07:11.347539,1,,0,False,"[{""number"": 1, ""token_bet"": 0, ""confidence"": 0.5737929292929294, ""ev_per_token"": 0.1475858585858587, ""is_positive_ev"": false, ""support"": 0}, {""number"": 2, ""token_bet"": 0, ""confidence"": 0.13135858585858584, ""ev_per_token"": -0.6059242424242425, ""is_positive_ev"": false, ""support"": 0}, {""number"": 5, ""token_bet"": 0, ""confidence"": 0.11207070707070707, ""ev_per_token"": -0.32757575757575763, ""is_positive_ev"": false, ""support"": 0}]",Markov,True,True,
2026-06-28T01:07:59.885854,1,,0,False,"[{""number"": 1, ""token_bet"": 0, ""confidence"": 0.5861543715846995, ""ev_per_token"": -0.180327868852459, ""is_positive_ev"": false, ""support"": 7}, {""number"": 2, ""token_bet"": 0, ""confidence"": 0.12435860655737702, ""ev_per_token"": -0.3606557377049181, ""is_positive_ev"": false, ""support"": 7}, {""number"": 5, ""token_bet"": 0, ""confidence"": 0.11125273224043715, ""ev_per_token"": -0.21311475409836067, ""is_positive_ev"": false, ""support"": 7}]",AI-Optimal,True,True,
2026-06-28T01:08:58.218450,2,,0,False,"[{""number"": 1, ""token_bet"": 0, ""confidence"": 0.5834106699751862, ""ev_per_token"": -0.16129032258064513, ""is_positive_ev"": false, ""support"": 8}, {""number"": 2, ""token_bet"": 0, ""confidence"": 0.1290707196029777, ""ev_per_token"": -0.3709677419354839, ""is_positive_ev"": false, ""support"": 8}, {""number"": 5, ""token_bet"": 0, ""confidence"": 0.10901985111662531, ""ev_per_token"": -0.22580645161290325, ""is_positive_ev"": false, ""support"": 8}]",AI-Optimal,False,True,
2026-06-28T01:09:52.844427,1,,0,False,"[{""number"": 1, ""token_bet"": 0, ""confidence"": 0.5186309523809524, ""ev_per_token"": 0.03726190476190472, ""is_positive_ev"": false, ""support"": 0}, {""number"": 2, ""token_bet"": 0, ""confidence"": 0.18029761904761904, ""ev_per_token"": -0.45910714285714294, ""is_positive_ev"": false, ""support"": 0}, {""number"": 5, ""token_bet"": 0, ""confidence"": 0.1088690476190476, ""ev_per_token"": -0.34678571428571436, ""is_positive_ev"": false, ""support"": 0}]",Markov,True,True,
